
reproduce of SHOT-VAE

{'activation': 'sigmoid',
 'adjust_lr': ListWrapper([400, 500, 550]),
 'aew': 400.0,
 'akb': 200.0,
 'annotated_ratio': 0.1,
 'apw': 200.0,
 'batch_size': 128,
 'beta_1': 0.9,
 'channel': 3,
 'class_num': 10,
 'data': 'cifar10',
 'data_dim': 32,
 'depth': 28,
 'dmi': 2.3,
 'epochs': 600,
 'epsilon': 0.1,
 'ewm': 0.001,
 'hard': False,
 'iterations': 391,
 'kbmc': 0.001,
 'kbmd': 0.001,
 'latent_dim': 128,
 'learning_rate': 0.001,
 'observation': 'bce',
 'pwm': 1.0,
 'sigma': 1.0,
 'slope': 0.01,
 'temperature': 0.67,
 'weight_decay': 0.0005,
 'widen_factor': 2,
 'wmf': 0.4,
 'wrd': 1.0}
epoch: 0 | iteration 10/391 | supervised 2.381, unsupervised 0.030, test 0.895
epoch: 0 | iteration 20/391 | supervised 2.394, unsupervised 0.030, test 0.895
epoch: 0 | iteration 30/391 | supervised 2.388, unsupervised 0.030, test 0.895
epoch: 0 | iteration 40/391 | supervised 2.401, unsupervised 0.030, test 0.895
epoch: 0 | iteration 50/391 | supervised 2.413, unsupervised 0.030, test 0.895
epoch: 0 | iteration 60/391 | supervised 2.338, unsupervised 0.030, test 0.895
epoch: 0 | iteration 70/391 | supervised 2.348, unsupervised 0.030, test 0.895
epoch: 0 | iteration 80/391 | supervised 2.396, unsupervised 0.030, test 0.895
epoch: 0 | iteration 90/391 | supervised 2.350, unsupervised 0.030, test 0.895
epoch: 0 | iteration 100/391 | supervised 2.329, unsupervised 0.030, test 0.895
epoch: 0 | iteration 110/391 | supervised 2.351, unsupervised 0.030, test 0.895
epoch: 0 | iteration 120/391 | supervised 2.360, unsupervised 0.030, test 0.895
epoch: 0 | iteration 130/391 | supervised 2.308, unsupervised 0.030, test 0.895
epoch: 0 | iteration 140/391 | supervised 2.416, unsupervised 0.030, test 0.895
epoch: 0 | iteration 150/391 | supervised 2.259, unsupervised 0.030, test 0.895
epoch: 0 | iteration 160/391 | supervised 2.360, unsupervised 0.030, test 0.895
epoch: 0 | iteration 170/391 | supervised 2.372, unsupervised 0.030, test 0.895
epoch: 0 | iteration 180/391 | supervised 2.323, unsupervised 0.030, test 0.895
epoch: 0 | iteration 190/391 | supervised 2.384, unsupervised 0.030, test 0.895
